Gender,Institution Type,IT Student,Location,Load-shedding,Internet Type,Self Lms,Adaptivity Level,1-5,11-15,16-20,21-25,26-30,6-10,College,School,University,Mid,Poor,Rich,2G,3G,4G,0,1-3,3-6,Computer,Mobile,Tab
1,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
0,1,0,1,1,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
1,1,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
1,1,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
0,1,0,1,1,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,1,0,1,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
